input,output
Lucy has 212 fish.How many more fish does Lucy need to buy to have 280 fish?,68
Joan found 6 seashells and Jessica found 8 seashells on the beach.How many seashells did they find together ?,14
" Harry Hound had a terrible earache yesterday. When I peered into his ears yesterday, I found 36 frisky fleas having a party in his right ear and  85 baby fleas sleeping peacefully in his left ear. I cleaned out Harry  Hound's ears.How many fleas perished?",121
"At Lindsey 's Vacation Wear , 0.375 the garments are bikinis and 0.25 are trunks .What fraction of the garments are either bikinis or trunks ?",0.625
Sara has 792 black and 122 red marbles . Fred took 233 of Sara 's black marbles .How many black marbles does Sara now have ?,559
"At the beach , Janet and her sister both built sandcastles and then measured their heights . Janet 's sandcastle was 3.6666666666666665 feet tall and her sister 's was 2.3333333333333335 feet tall .How much taller was Janet 's sandcastle than her sister 's ?",1.333333333
Roger has 92 blocks. 2 are eaten by a hippopotamus.How many blocks will Roger have?,90
Greg and Sharon own neighboring cornfields. Greg harvested 0.4 of an acre of corn on Monday and Sharon harvested 0.1 of an acre.How many more acres did Greg harvest than Sharon?,0.3
 Omar and Karen made egg rolls to share at the school potluck. Omar rolled 219 egg rolls. Karen rolled 229 egg rolls.What is the total number  of egg rolls Omar and Karen rolled?,448
"There were a total of 8 football games this year , 4 are played at night . Keith missed 4 of the games .How many football games did Keith go to in total ?",4
"A renovation project required 0.16666666666666666 truck-load of sand , 0.3333333333333333 truck-load of dirt , and 0.16666666666666666 truck-load of cement .How many truck-loads of material were needed in all ?",0.666666667
"Kendall is learning to drive, so this weekend she practiced driving 0.16666666666666666 of a mile with her mother and another 0.5 of a mile with her father.How far did Kendall drive in all?",0.666666667
"Last year, 90,171 people were born in a country, and 16,320 people immigrated to it.How many new people began living in the country last year?",106491
A multi-national corporation has 2041 part-time employees and 63093 full-time employees .How many employees work for the corporation ?,65134
 A pet supply store has 600 bags of dog food and 327 bags of cat food.How many more bags of dog food are there than cat food?,273
 2 beavers were working on their home. 1 went for a swim.How many beavers are still working on their home?,1
".If there are 7 crayons in a box and Gerald puts 6 more crayons inside, how many crayons are in the box?",13
 The farmer had 127 apples. He gave 88 apples to his neighbor.How many apples does he have now?,39
"Martha has 2 peanuts. Joyce has 26 peanuts.If Joyce gives all of her peanuts to Martha, how many peanuts will Martha have?",28
"The tallest player on the basketball team is 77.75 inches tall. This is 9.5 inches taller than the shortest player.How tall is the shortest player , in inches?",68.25
Sandy grew 51 pumpkins. Mike grew 23 pumpkins.How many pumpkins did they grow in total ?,74
William has 2 bottle caps. He buys 41 more.How many bottle caps does William have in all?,43
"Sam found 18 seashells, and Mary found 47 seashells on the beach .How many seashells did they find together ?",65
William has 10 marbles. He shares 3 with Theresa.How many marbles will William have?,7
Sam found 18 seashells and Mary found 47 seashells on the beach.How many seashells did they find together ?,65
 Dan has $3.00. He bought a candy bar for $1.00.How much money is left?,2
 2 birds were sitting on the fence. 4 more birds came to join them.How many birds are sitting on the fence?,6
"Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed 0.08333333333333333 ounce , the purple ring weighed 0.3333333333333333 ounce , and the white ring weighed 0.4166666666666667 ounce .What was the total weight of the plastic rings ?",0.833333333
"A bucket contains 3 gallons of water. If Derek adds 6.8 gallons more, how many gallons will there be in all?",9.8
Benny's high school played 39 baseball games this year. He attended  14 games.How many baseball games did Benny miss ?,25
"A treasure hunter discovered a buried treasure chest filled with a total of 5155 gems . 45 of the gems were diamonds , and the rest were rubies .How many of the gems were rubies ?",5110
There were 6 roses in the vase. Mary cut some more roses from her flower garden. There are now 16 roses in the vase.How many roses did she cut ?,10
"On her vacation last summer , Trisha walked all over New York City to buy souvenirs . First , she walked 0.1111111111111111 mile from her hotel to a postcard shop . Then she walked 0.1111111111111111 mile from the postcard shop to a T-shirt shop and 0.6666666666666666 mile from the T-shirt shop back to the hotel .How many miles did Trisha walk in all ?",0.888888889
Katherine has 34 bottle caps. 8 are eaten by a hippopotamus.How many bottle caps will Katherine have?,26
"Jason joined his school's band. He bought a flute for $142.46, a music stand for $8.89, and a song book for $7.How much did Jason spend at the music store?",158.35
"At the hardware store , 0.25 the nails are size 2d and 0.5 the nails are size 4d .What fraction of the nails are either size 2d or 4d ?",0.75
 There are 40 boys and some girls on the playground. There are 117 children altogether.How many girls are on the playground?,77
"There were 3409 pieces of candy in a jar.If 145 pieces were red and the rest were blue, how many were blue?",3264
 Cade had 87 marbles. He gave 8 to Dylan.How many does he have left?,79
There are 2 pencils in the drawer . Tim placed 3 pencils in the drawer .How many pencils are now there in total ?,5
Lizette has 813 stamps. Lizette has 125 more stamps than Minerva.How many stamps does Minerva have?,688
Mike has 35 books in his library . He bought several books at a yard sale over the weekend . He now has 56 books in his library .How many books did he buy at the yard sale ?,21
 The clown blew up 47 balloons. Then he blew up 13 more balloons.How many balloons does the clown have now?,60
 Connie has 2315 red markers and 1028 blue markers.How many markers does she have altogether?,3343
Jason has 7 violet balloons and 4 red balloons . He lost 3 of the violet balloons .How many violet balloons does Jason have now ?,4
"A renovation project required 0.16666666666666666 of a truck-load of sand, 0.3333333333333333 of a truck-load of dirt, and 0.16666666666666666 of a truck-load of cement.How many truck-loads of material were needed in all?",0.666666667
Keith grew 6 turnips. Alyssa grew 9 turnips.How many turnips did they grow in all ?,15
Dan found 56 seashells on the beach.  He gave Jessica some of his seashells . He has 22 seashell .How many seashells did he give to Jessica ?,34
A restaurant served 5 cakes during lunch and 6 during dinner today. The restaurant served 3 cakes yesterday.How many cakes were served in total ?,14
"Sandy went to the mall to buy clothes. She spent $13.99 on shorts, $12.14 on a shirt, and $7.43 on a jacket.How much money did Sandy spend on clothes?",33.56
Mike picked 8 pears and Jason picked 7 pears from the pear tree . Fred picked 6 apples from the apple tree .How many pears were picked in total ?,15
There are 53 maple trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 64 maple trees in the park .How many maple trees did the workers plant today ?,11
There are 7 dogwood trees currently in the park. Park workers will plant 3 more dogwood trees today and 2 more dogwood trees tomorrow.How many dogwood trees will the park have when the workers are finished ?,12
"On a hot day, Sam poured 1 bucket of water into a plastic wading pool. A few minutes later he added another 8.8 buckets.How much water did Sam pour into the pool?",9.8
 Tim had 50 cents. He paid 45 cents for a candy bar.How much change will he get?,5
Sam went to 14 football games this year . He went to 29 games last year .How many football games did Sam go to in all ?,43
Heather has 60 oranges. Russell takes 35 away.How many oranges will Heather have?,25
Roadster's Paving Company used 10 tons of cement to pave Lexi's street and 5.1 tons of cement to pave Tess's street.How much cement did Roadster's Paving Company use in all?,15.1
Sam had 49 pennies and 24 nickels in his bank . His dad gave him 39 nickels and 31 quarters .How many nickels does he have now ?,63
There are 16 bottle caps in a box. Marvin takes 6 bottle caps.How many are left?,10
Dan has 32 green and 38 violet marbles . Mike took 23 of Dan 's green marbles .How many green marbles does Dan now have ?,9
"Dan joined his school 's band . He bought a clarinet for $ 130.30 , and a song book which was $ 11.24 . Dan found $ 12.32 in his pocket .How much did Dan spend at the music store ?",141.54
There are 46 rulers in the drawer . Tim took 25 rulers from the drawer .How many rulers are now in the drawer ?,21
Janet has 57 apples. She finds another 95.How many apples does Janet have in all?,152
Joan grew 8 watermelons and 4 turnips . Tom grew 9 watermelons .How many watermelons did they grow in total ?,17
"Some insects called aphids attack a large farm. In response, the farmer releases ladybugs onto the fields. There are 12,170 ladybugs with spots and 54,912 ladybugs without spots.How many ladybugs are there in all?",67082
 Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs.Franklin give  to her students?,42
Ruby has 63 apples. Emily takes 55 away.How many apples will Ruby have?,8
"A bee colony produced 0.36 pounds of honey , but bears ate 0.05 pounds of it .How much honey remains ?",0.31
Dale's Vegetarian Restaurant bought 2.8333333333333335 pounds of green peppers and 2.8333333333333335 pounds of red peppers.How many pounds of peppers did Dale's Vegetarian Restaurant buy in all?,5.666666667
"Each day , the polar bear at Richmond 's zoo eats 0.2 bucket of trout and 0.4 bucket of salmon .How many buckets of fish does the polar bear eat daily ?",0.6
There are 9 pencils and 4 rulers in the drawer . Sally took 4 pencils out of the drawer .How many pencils are there now ?,5
Jonah added 0.3 of a cup of yellow raisins and 0.4 of a cup of black raisins to a batch of trail mix.How many cups of raisins did Jonah add in all?,0.7
" Mrs. Hilt baked pies last weekend for a holiday dinner. She baked 16 pecan pies and 14 apples pies.If she wants to arrange all of the pies in  rows of 5 pies each, how many rows will she have?",30
Alyssa's dog had puppies. She gave 7 to her friends.  She now has 5 puppies left.How many puppies did she have to start with ?,12
Sam has 110 books . Joan has 102 books .How many books do they have together ?,212
"Terrell hiked 8.2 miles on Saturday. Then, on Sunday, he hiked another 1.6 miles.How far did Terrell hike all together?",9.8
"Tori is a school janitor . Last week , she picked up a total of 1576 pieces of trash .If she picked up 344 pieces of trash in the classrooms , how many pieces of trash did Tori pick up outside the classrooms ?",1232
