input,output
Nancy has saved 1 dozen quarters from washing cars.How much money does Nancy have ?,3
"Bryan had 8 precious stones in his collection which he sold to his friend from the jewelry store.If the stones were sold at 1785 dollar each, how much money did Bryan get in total?",14280
Sara has saved 9 dollars from washing cars.How many dozen quarters does Sara have?,3
Marlee has 12 guests coming to her Halloween party.  Each table will hold 3 guests.How many tables will Marlee need?,4
"There are 10 stickers on a page.If you have 22 pages of stickers, how many stickers do you have?",220
".If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",5
James rode 80 miles at 16 miles per hour.How long did James ride?,5
 Arthur baked 115 muffins.  James baked 12 times as many.How many muffins did James bake?,1380
 A perfect score is 21 points.How many points would you have after 3 perfect games in a row?,63
A 12 ounce can of cranberry juice sells for 84 cents.  What is the cost in cents per ounce.,7
It took Amanda 2 hours to stroll to Kimberly's house at 4 miles per hour.How far is it between Amanda's house and Kimberly's house?,8
There are 96 cupcakes for 8 children to share.How much will each person get if they share the cupcakes equally?,12
Each bag contains 23 pounds of oranges.How many pounds of oranges are in 45 bags?,1035
There are 4 dozen calories in a candy bar.How many calories are there in 42 candy bars ?,2016
 Marie can bike at a speed of 12 miles an hour.How far can she bike in 31 hours?,372
Paula has 6 boxes of peanuts.  Each box holds 4 peanuts.How many peanuts does Paula have?,24
 Mrs.  Hilt bought 6 hot dogs.  Each hot dog cost 50 cents.How much money did she pay for all of the hot dogs?,300
 Mrs.  Hilt bought 3 pizzas for $8 each.What was the total amount she paid for the three pizzas?,24
".If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",8
 256 students are going to the zoo.  They have to be divided into groups so that each teacher has one group.  There are 8 teachers.How many  students will be in each group?,32
 Maggi had 3 packages of cupcakes.  There are 4 cupcakes in each package.  She ate 5 cupcakes.How many are left?,12
Steven wants to split a collection of cards into groups of 6.  Steven has 30 cards.How many groups will be created?,5
"There are 72 cards in Jean's card collection.If the cards are organized into 9 groups, how big is each group?",8
 Robin has 9 packages of gum.  There are 15 pieces in each package.How many pieces of gum does Robin have?,135
The school is planning a field trip.  There are 9 students and 3 seats on each school bus.How many buses are needed to take the trip?,3
Each ticket costs $9. 00.How much do 4 tickets cost?,36
"Lexie’s mom gathered all her watercolor paintings and thought of placing an equal number of paintings in 4 rooms in the house.If Lexie has 32 watercolor paintings, how many paintings will be placed in each room?",8
Sara has 9 dozen golf balls.How many golf balls does she have ?,108
 Frank worked 8 hours on the first 4 days of the week.How many hours did he work in all?,32
 A sandbox is 312 centimeters long and 146 centimeters wide.How many square centimeters of ground does the sandbox cover?,45552
"Joe has 45 oranges that must be put away in boxes.  Daniel comes to help and brings 16 cookies to share with Joe.If there are 9 boxes, how many oranges must go in each box?",5
".If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?",2
There are 37 baskets.  There are 17 apples in each basket.How many apples are there in all?,629
Jeremy strolled 20 kilometers at 2 kilometers per hour.How long did Jeremy stroll?,10
"Shirley sold 20 boxes of Do-Si-Dos.How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?",5
Benny worked 3 hours for 6 days.How many hours did he work in total ?,18
Tom was at the beach for 5 days and found 7 seashells every day.How many seashells did Tom find during the beach trip ?,35
"A teacher has 344 pieces of candy.If there are 43 students, and the candy is divided evenly, How many pieces will each student get?",8
Each banana costs $5. 00.How much do 4 bananas cost?,20
"Ashley sold 12 boxes of Samoas.How many cases of 12 boxes, plus extra boxes does Ashley need?",1
 A cereal box holds 18 cups of cereal.  Each serving is 2 cups.How many servings are in the whole box?,9
"If each ball costs $1.54, how much must Kyoko pay for 3 balls?",4.62
" I have 80 cents to buy candy.If each gumdrop costs 4 cents, how many gumdrops can I buy?",20
6 students were sitting at each table in the lunchroom.  There are 34 tables.How many students were sitting in the lunchroom?,204
Sally bought 4 dozen eggs from the grocery store to bake some cakes.How many eggs did Sally buy ?,48
Mrs.  Hilt read 4 books.  Each book had 17 chapters in it.  How many chapters did Mrs.Hilt read?,68
Mrs.  Hilt bought a notebook for $1. 30.  She paid with nickels.How many nickels did she use to buy the notebook?,26
Tim has saved 2000 cents from selling lemonade.How many dollars does Tim have?,20
"Christian’s mother prepared lemonade.  Every pitcher of lemonade can serve 5 glasses.If she was able to serve 30 glasses of lemonade, how many pitchers of lemonade did she prepare?",6
There were a total of 13 hockey games a month.  The season is played for  14 months.How many hockey games are in the seasons ?,182
"Upon arriving at the circus, they went to the ticket booth and asked how much each ticket cost.If each ticket costs 44 dollars and they bought 7 tickets, how much money did they spend on tickets?",308
Benny goes out to lunch with Sara and Tom.  Each person orders the $8 lunch special.  Benny agrees to pay the bill.How much will he have to pay ?,24
"One stamp costs 34 cents.If the cost of each stamp remains the same, how much would 4 stamps cost?",134
" Mrs.  Hilt impressed 2436 fans at the basketball game on Friday.If the fans were seated in equal groups on 3 sets of bleachers, how many  fans were on each set?",812
